"amount","project_number","report_fy","budget_cycle","fund_type","fund_number","asset_owning_dept","project_name","account","account_number"
"43000","S00776","12","adopted","Refuse Disposal Fund","C700040","Environmental Services","South Chollas Landfill","Undistributed Budget","512117"
"300000","S01074","12","adopted","Refuse Disposal Fund","C700040","Environmental Services","West Miramar Refuse Disposal Fac Ph 2","Undistributed Budget","512117"
"1750000","S01088","12","adopted","Refuse Disposal Fund","C700040","Environmental Services","Future Waste Mgmt Disposal & Pro Fac","Undistributed Budget","512117"
"300000","AEA00002","12","adopted","Golf Course Enterprise Fund","C700044","Parks & Recreation","Balboa Park Golf Course","Undistributed Budget","512117"
"1100000","AEA00001","12","adopted","Golf Course Enterprise Fund","C700045","Parks & Recreation","Torrey Pines Golf Course","Undistributed Budget","512117"
"300000","AEA00003","12","adopted","Golf Course Enterprise Fund","C700046","Parks & Recreation","Mission Bay Golf Course","Undistributed Budget","512117"
"700000","S12000","12","adopted","State Grants","C600001","Library","Library Collection Conversion to RFID","Undistributed Budget","512117"
"250000","L14000","15","adopted","Maintenance Assessment Districts","C200033","Parks & Recreation","Carmel Valley Landscaping & Irrigation","Undistributed Budget","512117"
"560404","L14003","15","adopted","Maintenance Assessment Districts","C200059","Parks & Recreation","Del Mar Terrace Street Improvements","Undistributed Budget","512117"
"5000","S10054","15","adopted","Maintenance Assessment Districts","C200063","Parks & Recreation","Switzer Canyon Bridge Enhancement Prog","Undistributed Budget","512117"
"150000","S11009","15","adopted","Maintenance Assessment Districts","C200074","Parks & Recreation","Torrey Highlands Community ID & Enhance","Undistributed Budget","512117"
"75000","S00978","15","adopted","Maintenance Assessment Districts","C200076","Parks & Recreation","Talmadge Decorative SL Restoration","Undistributed Budget","512117"
"30000","S00826","15","adopted","Maintenance Assessment Districts","C200095","Parks & Recreation","El Cajon Blvd Streetscape Improvements","Undistributed Budget","512117"
"750000","ABG00001","15","adopted","Stadium Fund","C200116","Citywide","Stadium","Undistributed Budget","512117"
"2000000","AID00005","15","adopted","Trench Cut/Excavation Fee Fund","C200203","Transportation","Resurfacing of City Streets","Undistributed Budget","512117"
"192767","S13022","15","adopted","Library System Improvement Fund","C200209","Library","Mission Hills-Hillcrest Library","Undistributed Budget","512117"
"1907720","AID00005","15","adopted","Proposition 42 Replacement - Transportation Relief Fund","C200306","Transportation","Resurfacing of City Streets","Undistributed Budget","512117"
"306568","ABT00001","15","adopted","Mission Bay Park Improvement Fund","C200386","General Services","City Facilities Improvements","Undistributed Budget","512117"
"2943383","AGF00004","15","adopted","Mission Bay Park Improvement Fund","C200386","Parks & Recreation","Mission Bay Improvements","Undistributed Budget","512117"
"456000","L14005","15","adopted","Sunset Cliffs Natural Park Fund","C200463","Parks & Recreation","Sunset Cliffs Park Drainage Improvements","Undistributed Budget","512117"
"23012","ABT00001","15","adopted","Park Service District Funds","C400021","General Services","City Facilities Improvements","Undistributed Budget","512117"
"704652","S01083","15","adopted","Park Service District Funds","C400029","Parks & Recreation","Fairbrook Neighborhood Park Development","Undistributed Budget","512117"
"5000000","S13021","15","adopted","Facilities Benefit Assessments","C400080","Fire-Rescue","Fire Station No. 50 - North University City","Undistributed Budget","512117"
"2080509","S14007","15","adopted","Facilities Benefit Assessments","C400085","Parks & Recreation","Salk Neighborhood Park & Joint Use Devel","Undistributed Budget","512117"
"1718570","S15006","15","adopted","Facilities Benefit Assessments","C400085","Parks & Recreation","Canyon Hills Resource Park Improvements","Undistributed Budget","512117"
"5087168","S15007","15","adopted","Facilities Benefit Assessments","C400085","Parks & Recreation","Wangenheim Joint Use Facility","Undistributed Budget","512117"
"307424","S01083","15","adopted","Facilities Benefit Assessments","C400086","Parks & Recreation","Fairbrook Neighborhood Park Development","Undistributed Budget","512117"
"1670526","S00642","15","adopted","Facilities Benefit Assessments","C400088","Parks & Recreation","Carmel Valley Neighborhood Park #8","Undistributed Budget","512117"
"2685000","S00900","15","adopted","Facilities Benefit Assessments","C400090","Transportation","Carmel Valley Rd 4/6 Lanes s of Street A","Undistributed Budget","512117"
"42000","S00903","15","adopted","Facilities Benefit Assessments","C400090","Transportation","Del Mar Heights Road-4/6 Lanes","Undistributed Budget","512117"
"305000","S00906","15","adopted","Facilities Benefit Assessments","C400090","Transportation","Carmel Val Rd-Del Mar Hts-Lopelia Mdws","Undistributed Budget","512117"
"1295000","S00994","15","adopted","Facilities Benefit Assessments","C400090","Parks & Recreation","SOLANA RANCH PARK","Undistributed Budget","512117"
"1500000","RD14000","15","adopted","Facilities Benefit Assessments","C400091","Transportation","State Route 56 Freeway Expansion","Undistributed Budget","512117"
"2700000","S15015","15","adopted","Facilities Benefit Assessments","C400091","Fire-Rescue","Fire Station No. 48 - Black Mountain Ranch","Undistributed Budget","512117"
"1500000","RD14000","15","adopted","Facilities Benefit Assessments","C400094","Transportation","State Route 56 Freeway Expansion","Undistributed Budget","512117"
"310000","S15011","15","adopted","Development Impact Fees","C400098","Library","Tierrasanta Library Expansion","Undistributed Budget","512117"
"342000","S00856","15","adopted","Development Impact Fees","C400101","Transportation","El Camino Real to ViaDeLaValle (1/2 mile)","Undistributed Budget","512117"
"2200","S14007","15","adopted","Development Impact Fees","C400105","Parks & Recreation","Salk Neighborhood Park & Joint Use Devel","Undistributed Budget","512117"
"233091","ABT00001","15","adopted","Development Impact Fees","C400107","General Services","City Facilities Improvements","Undistributed Budget","512117"
"440634","S00767","15","adopted","Development Impact Fees","C400109","Parks & Recreation","Wightman Street Neighborhood Park","Undistributed Budget","512117"
"250000","S15003","15","adopted","Development Impact Fees","C400109","Parks & Recreation","Park de la Cruz Neighborhood Park Improvements","Undistributed Budget","512117"
"350000","ABE00001","15","adopted","Development Impact Fees","C400112","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"50000","AIL00005","15","adopted","Development Impact Fees","C400112","Transportation","Traffic Signals Modification","Undistributed Budget","512117"
"310000","ABE00001","15","adopted","Development Impact Fees","C400114","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"1090000","S00767","15","adopted","Development Impact Fees","C400114","Parks & Recreation","Wightman Street Neighborhood Park","Undistributed Budget","512117"
"250000","ABE00001","15","adopted","Development Impact Fees","C400116","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"150000","AIK00001","15","adopted","Development Impact Fees","C400116","Transportation","New Walkways","Undistributed Budget","512117"
"304000","AIL00001","15","adopted","Development Impact Fees","C400116","Transportation","Traffic Calming","Undistributed Budget","512117"
"275000","AIL00004","15","adopted","Development Impact Fees","C400116","Transportation","Traffic Signals - Citywide","Undistributed Budget","512117"
"250000","S00800","15","adopted","Development Impact Fees","C400116","Library","San Carlos Branch Library","Undistributed Budget","512117"
"1271000","S15004","15","adopted","Development Impact Fees","C400116","Parks & Recreation","Rancho Mission Neighborhood Park Play Area Upgrade","Undistributed Budget","512117"
"76000","ABE00001","15","adopted","Development Impact Fees","C400120","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"550000","AIL00004","15","adopted","Development Impact Fees","C400120","Transportation","Traffic Signals - Citywide","Undistributed Budget","512117"
"190000","AIL00005","15","adopted","Development Impact Fees","C400120","Transportation","Traffic Signals Modification","Undistributed Budget","512117"
"400000","S11019","15","adopted","Development Impact Fees","C400120","Parks & Recreation","Mountain View NP Area Upgrades","Undistributed Budget","512117"
"734000","S11103","15","adopted","Development Impact Fees","C400120","Parks & Recreation","Valencia Park Acquisition & Development","Undistributed Budget","512117"
"61000","ABE00001","15","adopted","Development Impact Fees","C400121","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"100000","S00760","15","adopted","Development Impact Fees","C400121","Parks & Recreation","West Maple Canyon MP","Undistributed Budget","512117"
"839000","S13022","15","adopted","Development Impact Fees","C400121","Library","Mission Hills-Hillcrest Library","Undistributed Budget","512117"
"50000","S00792","15","adopted","Development Impact Fees","C400123","Fire-Rescue","La Jolla Cove Lifeguard Station","Undistributed Budget","512117"
"75000","S15001","15","adopted","Development Impact Fees","C400123","Parks & Recreation","Coast Blvd Walkway Improvements","Undistributed Budget","512117"
"200000","ABE00001","15","adopted","Development Impact Fees","C400126","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"350000","S13000","15","adopted","Development Impact Fees","C400127","Parks & Recreation","Tubman Charter School JU Improvements","Undistributed Budget","512117"
"300000","AIL00005","15","adopted","Development Impact Fees","C400128","Transportation","Traffic Signals Modification","Undistributed Budget","512117"
"250000","S13003","15","adopted","Development Impact Fees","C400128","Parks & Recreation","Chicano Park ADA Upgrades","Undistributed Budget","512117"
"500000","S15002","15","adopted","Development Impact Fees","C400128","Parks & Recreation","Paradise Senior Center Improvements","Undistributed Budget","512117"
"850000","S15013","15","adopted","Development Impact Fees","C400128","Fire-Rescue","Fire Station No. 07 - Barrio Logan","Undistributed Budget","512117"
"100000","ABE00001","15","adopted","Development Impact Fees","C400132","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"100000","AIK00001","15","adopted","Development Impact Fees","C400132","Transportation","New Walkways","Undistributed Budget","512117"
"275000","S15005","15","adopted","Development Impact Fees","C400133","Parks & Recreation","Crest Canyon Neighborhood Park","Undistributed Budget","512117"
"69000","ABE00001","15","adopted","Development Impact Fees","C400134","Citywide","Americans with Disabilities Improvements","Undistributed Budget","512117"
"5600000","S00851","15","adopted","Development Impact Fees","C400135","Transportation","SR 163/Friars Road","Undistributed Budget","512117"
"125000","S15012","15","adopted","Development Impact Fees","C400136","Fire-Rescue","Fire-Rescue Air Operations Facility","Undistributed Budget","512117"
"750000","AIA00001","15","adopted","TransNet Funds","C400169","Transportation","Minor Bike Facilities","Undistributed Budget","512117"
"7825225","AID00005","15","adopted","TransNet Funds","C400169","Transportation","Resurfacing of City Streets","Undistributed Budget","512117"
"500000","AIE00001","15","adopted","TransNet Funds","C400169","Transportation","Bridge Rehabilitation","Undistributed Budget","512117"
"100000","AIG00001","15","adopted","TransNet Funds","C400169","Transportation","Median Installation","Undistributed Budget","512117"
